,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,3781,https://www.airbnb.com/rooms/3781,20250619031426,2025-06-19,city scrape,HARBORSIDE-Walk to subway,"Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway.","Mostly quiet ( no loud music, no crowed sidewalks)  area with residential 3 story buildings, some 4 and 5 story newer buildings. Though not in an ""entertainment"" area there are local food shops and supermarket with a mix of restaurants.  Area is in transition--East Boston has a great waterfront with gentrification evident everywhere!",https://a0.muscache.com/pictures/24670/b2de0442_original.jpg,4804,https://www.airbnb.com/users/show/4804,Frank,2008-12-03,"Massachusetts, United States","My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a day,75%,13%,t,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_x_medium,East Boston,3,6,"['email', 'phone']",t,f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free parking on premises"", ""Central air conditioning"", ""Free street parking""]",$125.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,0,0,0,262,2025-06-19,26,1,0,93,1,58,7250.0,2015-07-10,2024-08-09,4.96,5.0,4.96,5.0,4.96,4.85,4.88,,f,1,1,0,0,0.21
1,5506,https://www.airbnb.com/rooms/5506,20250619031426,2025-06-19,city scrape,** Fort Hill Inn Private! Minutes to center!**,"**THE BEST Value in BOSTON!!*** PRIVATE GUEST ROOM WITH PRIVATE BATH.   Easy Access to the city.  5 minute walk to the subway,  5 minute ride to the center of the attractions.   One of the many options available at the ""Fort Hill Inn,  Boston""!","Peaceful, Architecturally interesting, historic, diverse, and quiet residential. <br /><br />Culturally,  ethnically, and economically diverse.",https://a0.muscache.com/pictures/miso/Hosting-5506/original/5c9789c7-abff-49e4-b0de-1ba8b77a9597.jpeg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,12,15,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dryer"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""First aid kit"", ""Hangers"", ""Bathtub"", ""Free street parking""]",$142.00,3,90,1,3,1125,1125,3.0,1125.0,,t,4,11,22,103,2025-06-19,137,13,1,103,10,78,11076.0,2009-03-21,2025-06-12,4.82,4.89,4.91,4.95,4.89,4.57,4.77,STR-490093,f,11,11,0,0,0.69
2,6695,https://www.airbnb.com/rooms/6695,20250619031426,2025-06-19,city scrape,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex","Comfortable,  Fully Equipped private apartment on 2 levels.  Sleeps up to 4.  Sleeper sofa in living room,  Spiral Steps inside unit to bedroom.","Peaceful, Architecturally interesting, historic, diverse, and quiet. Racially, culturally,  ethnic, and economically diverse.",https://a0.muscache.com/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg,8229,https://www.airbnb.com/users/show/8229,Terry,2009-02-19,"Boston, MA","Relaxed,  Easy going, Accommodating. ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_x_medium,Roxbury,12,15,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32802,-71.09387,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free street parking""]",$171.00,3,730,1,3,730,730,3.0,730.0,,t,2,5,12,93,2025-06-19,139,11,0,93,8,66,11286.0,2009-08-06,2025-04-24,4.81,4.82,4.85,4.9,4.94,4.53,4.72,STR-491702,f,11,11,0,0,0.72
3,8789,https://www.airbnb.com/rooms/8789,20250619031426,2025-06-19,city scrape,Curved Glass Studio/1bd facing Park,"This unit is for sale. There will need to be occasional showings. This unit is available for a few months at the most. Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything!","Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as shopping, restaurants and public transportation.",https://a0.muscache.com/pictures/miso/Hosting-8789/original/79276a31-76b8-4a0a-86d3-c2ffef3aeca2.jpeg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Essentials"", ""Patio or balcony"", ""Paid parking garage off premises"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Electric stove"", ""Elevator"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Single level home"", ""Bathtub""]",$140.00,91,365,91,91,365,365,91.0,365.0,,t,0,17,29,210,2025-06-19,29,0,0,41,1,0,0.0,2014-08-12,2024-05-15,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,8,8,0,0,0.22
4,10811,https://www.airbnb.com/rooms/10811,20250619031426,2025-06-19,city scrape,Bostons Best Rentals -Studio Prestigious Back Bay,"Bostons Best Rentals offers a Stunning Back Bay furnished studio apartment in the Prestigious Back Bay neighborhood.   Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy be, includes all utilities, A/C ,Wi-Fi, TV, bedding , towels, utensils, table and chairs works space.  <br /><br />Short walk to Newbury St, Fenway Park, ""T"" Station (subway) & hundreds of restaurants, cafes and shops.","A one-square mile neighborhood that is arguably one of the most prestigious neighborhoods in Boston, Back Bay teems with history and affluence. Copley Square is the heart of Back Bay, featuring landmarks such as the Boston Public Library and the John Hancock Tower. Shoppers and tourists also flock to the Prudential Center. Commonwealth Avenue is the pride of the neighborhood - a beautiful, tree-lined boulevard with grand mansions and other stately homes. This neighborhood, along with Beacon Hill, is the place to live for the quintessential Boston experience and is popular with young professionals and empty nesters who fled the suburbs for city living after their kids left home. The housing stock is a mixture of Victorian brownstones and larger buildings nestled between high-rises offering luxurious living in snug quarters.",https://a0.muscache.com/pictures/45735/27548f71_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,93%,53%,t,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Pets allowed"", ""Fire extinguisher"", ""Ethernet connection"", ""Indoor fireplace"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Coffee maker""]",$152.00,91,1125,91,91,1125,1125,91.0,1125.0,,t,29,59,89,217,2025-06-19,9,0,0,175,0,0,0.0,2016-01-09,2019-07-22,4.33,4.44,4.67,4.56,4.0,5.0,4.67,,f,12,12,0,0,0.08
5,10813,https://www.airbnb.com/rooms/10813,20250619031426,2025-06-19,city scrape,The Back Bay Nook  -Brownstone in Prestigious Area,"Stunning Back Bay furnished studio apartment. Classic brick brownstone on a quiet street. Elegant large studio apartment with bow window overlooking tree lined Marlborough St. Front facing studio apt. Queen murphy bed,  includes all utilities, A/C <br />Wi-Fi, TV, bedding , towels, utensils, table and chairs works space. <br />Short walk to Newbury St, Fenway Park, ""T"" Station & hundreds of restaurants, cafes and shops.  This apt does not come with a parking spot.   Fireplace is not operational.","Wander around this quintessential neighborhood in the heart of Boston for high-end shops, restaurants, and the feeling of city bustle. Its most identifiable skyscrapers, the Prudential Center and John Hancock Tower, are highlights of the city skyline. Visit Newbury street to explore unique and trendy boutiques – as well as every other kind of store imaginable – all housed in beautiful brownstone buildings. In nice weather, restaurant patio seating is packed with Bostonians and tourists alike soaking up the sunshine and enjoying the food. Commonwealth Ave offers a beautiful stroll down residential tree-lined streets. Keep walking towards the Charles River and enjoy a beautiful view by the water. In warmer months, people run and bike on paths running along the esplanade, and sail and kayak on the Charles River. Boylston street, also full of shops, bars, and restaurants, is the finish line of the Boston Marathon. Head towards Copley Square and check out the Boston Public Library, which is",https://a0.muscache.com/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,93%,53%,t,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Clothing storage: closet"", ""Smoke alarm"", ""Housekeeping available every day - available at extra cost"", ""Dishes and silverware"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Stove"", ""Bathtub""]",$202.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,19,49,63,233,2025-06-19,5,0,0,64,0,0,0.0,2019-03-17,2023-11-19,5.0,5.0,4.8,5.0,5.0,5.0,4.8,,f,12,12,0,0,0.07
6,10986,https://www.airbnb.com/rooms/10986,20250619031426,2025-06-19,city scrape,The Olive & Vine in The North End-Walk to MGH Tuft,"Chic furnished studio apartment is located on Waterfront & North End.  Close (10 min walk) to Mass General Hospital, Mass Eye & Ear, TD Boston Garden and Mass Transit station. One block to Hanover Street restaurants, shops & cafes.  Easy walk (5 min) to Fanieul Hall Marketplace, City Hall and Haymarket farmers market.  Take the ""T"" to Back Bay neighborhood, including Northeastern University, Berklee Univ or into Cambridge Ma.",,https://a0.muscache.com/pictures/46994/567b6064_original.jpg,38997,https://www.airbnb.com/users/show/38997,Michelle,2009-09-16,,,within a few hours,93%,53%,t,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_x_medium,Back Bay,21,29,"['email', 'phone']",t,t,,North End,,42.36377,-71.05206,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""GE gas stove"", ""Freezer"", ""Ge stainless steel oven"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Pets allowed"", ""Lockbox"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Bathtub""]",$130.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,0,25,55,330,2025-06-19,2,1,0,161,1,64,8320.0,2024-01-05,2025-03-31,4.5,5.0,3.5,3.5,5.0,5.0,4.0,,f,12,12,0,0,0.11
7,18711,https://www.airbnb.com/rooms/18711,20250619031426,2025-06-19,city scrape,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,"Discover unmatched comfort and style at The Dorset, a charming 3-bedroom retreat nestled near Boston’s historic South End. Here, turn-of-the-century architecture meets modern amenities such as a washer and dryer, offering an ideal haven for both relaxation and exploration. Imagine yourself unwinding in a centrally climate controlled space designed with elegance and convenience in mind, just steps away from vibrant city life. Book your stay and start crafting unforgettable Boston memories today!","✔ Explore the vibrant South End nearby, famous for its Victorian brownstones and gardens<br />✔ Access Boston's public transport with a 10-minute walk to the T (subway)<br />✔ Discover an array of dining, shopping, and cultural activities nearby<br />✔ Feel the pulse of Boston's rich history and community spirit<br />✔ Don’t miss out—book your urban escape and dive into local adventures!<br /><br />Once its own city, Dorchester is now Boston’s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the president’s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo.",https://a0.muscache.com/pictures/prohost-api/Hosting-18711/original/85a80a40-a836-40c5-86df-0d578840becb.jpeg,71783,https://www.airbnb.com/users/show/71783,Lance,2010-01-19,"Boston, MA","Lance R. Swank, Principal

His units offer comfortable and luxurious appointments to compliment the style of the building, whether a newly constructed condo or a historic Brownstone. Visitors to Boston seeking a furnished apartment without the corporate, hotel-room-like feel of most furnished rentals will find themselves more at home in Lance’s spaces.

Lance is the President of LSBM Management, LLC and holds an MBA degree from of the F.W. Olin Graduate School of Business at Babson College. He lives and invests in the City of Boston.",within a few hours,87%,96%,f,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,Dorchester,60,97,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Dorchester,,42.32212,-71.06096,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Wine glasses"", ""Essentials"", ""Private entrance"", ""Washer"", ""Drying rack for clothing"", ""Baking sheet"", ""Air conditioning"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Books and reading material"", ""Clothing storage"", ""Hot water kettle"", ""Self check-in"", ""Dining table"", ""Oven"", ""Room-darkening shades"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Housekeeping - available at extra cost"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Pets allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Bread maker"", ""Hot water"", ""Smart lock"", ""Rice maker"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Single level home"", ""Stove"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Free street parking""]",$161.00,30,360,30,30,1125,1125,30.0,1125.0,,t,0,0,0,264,2025-06-19,52,0,0,95,0,0,0.0,2010-05-12,2023-08-19,4.31,4.5,4.71,4.56,4.46,4.24,4.48,,f,58,18,40,0,0.28
12,60029,https://www.airbnb.com/rooms/60029,20250619031426,2025-06-19,city scrape,Room in geographical heart of Hub,"Small, sunny, private room in quiet but urban neighborhood, 3 miles from the city center, 1.5 miles from Longwood hospitals and Fenway colleges. Please do not book without first reading through the entire post and sending me a query!","Architecturally interesting, historic (Roxbury Highland Historic District was listed on the National Register of Historic Places in 1988), economically, racially and ethnically diverse, and quiet residential neighborhood.  Formerly part of what was called the Boston Highlands, it is now known as Highland Park or Fort Hill and my house is on a hill.  On a hill.  Yes, two hills.",https://a0.muscache.com/pictures/3bf41756-488c-43b6-a66d-1e752ba09082.jpg,255183,https://www.airbnb.com/users/show/255183,Michelle,2010-10-06,"Boston, MA","A native Bostonian, I can fill you in on the city's history and what's happening now - or not - depending on what you need and want while you're here.  Come visit!",within a few hours,100%,74%,f,https://a0.muscache.com/im/users/255183/profile_pic/1343246470/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/255183/profile_pic/1343246470/original.jpg?aki_policy=profile_x_medium,Roxbury,1,6,"['email', 'phone']",t,t,Neighborhood highlights,Roxbury,,42.32546,-71.08894,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Host greets you"", ""Shampoo"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Outdoor furniture"", ""Fire extinguisher"", ""Smoking allowed"", ""Lock on bedroom door"", ""Shared backyard \u2013 Not fully fenced"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""First aid kit"", ""Hangers"", ""Coffee maker"", ""Free street parking""]",$80.00,29,29,29,29,29,29,29.0,29.0,,t,11,28,42,209,2025-06-19,145,0,0,135,1,0,0.0,2011-01-01,2024-02-29,4.73,4.65,4.57,4.87,4.91,4.16,4.63,STR-415714,f,1,0,1,0,0.82
13,60356,https://www.airbnb.com/rooms/60356,20250619031426,2025-06-19,city scrape,Bookcase 1bd facing Boston Common,"Live beside the Boston Common and the State House in picturesque Beacon Hill!  This sunny 6th floor condo overlooks the Common and the State House, it has parquet wood floors, good closet space and ceiling fans. The building features a concierge, elevator, common roofdeck with amazing views, laundry and rubbish room on each floor. It is conveniently located close to transportation, shopping, restaurants, the Financial District, Government Center and the Theater District.",,https://a0.muscache.com/pictures/e0b12f2f-06c3-42bf-b10c-b2240021b927.jpg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,,Beacon Hill,,42.35894,-71.0631,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Paid parking off premises"", ""Elevator"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker""]",$100.00,32,365,32,32,365,365,32.0,365.0,,t,0,0,0,170,2025-06-19,19,0,0,1,0,0,0.0,2013-11-10,2020-09-08,4.84,4.89,4.63,4.84,4.89,5.0,4.68,,f,8,8,0,0,0.13
