,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,3781,https://www.airbnb.com/rooms/3781,20250619031426,2025-06-19,city scrape,HARBORSIDE-Walk to subway,"Fully separate apartment in a two apartment building. Space is perfect for an individual or a couple. There is a full bath, bedroom with queen bed, small sitting area with TV and a fully equipped kitchen with dining area. Walk or bus to subway.","Mostly quiet ( no loud music, no crowed sidewalks)  area with residential 3 story buildings, some 4 and 5 story newer buildings. Though not in an ""entertainment"" area there are local food shops and supermarket with a mix of restaurants.  Area is in transition--East Boston has a great waterfront with gentrification evident everywhere!",https://a0.muscache.com/pictures/24670/b2de0442_original.jpg,4804,https://www.airbnb.com/users/show/4804,Frank,2008-12-03,"Massachusetts, United States","My wife and I and grown children frequently occupy the spaces that we rent and as such try to make the spaces pleasant and appealing to ourselves as well as guests.   We have been subletting for over 15 years and consider ourselves helpful and organized hosts who provide clean, attractive and comfortable apartments",within a day,75%,13%,t,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_x_medium,East Boston,3,6,"['email', 'phone']",t,f,Neighborhood highlights,East Boston,,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free parking on premises"", ""Central air conditioning"", ""Free street parking""]",$125.00,29,1125,29,29,1125,1125,29.0,1125.0,,t,0,0,0,262,2025-06-19,26,1,0,93,1,58,7250.0,2015-07-10,2024-08-09,4.96,5.0,4.96,5.0,4.96,4.85,4.88,,f,1,1,0,0,0.21
3,8789,https://www.airbnb.com/rooms/8789,20250619031426,2025-06-19,city scrape,Curved Glass Studio/1bd facing Park,"This unit is for sale. There will need to be occasional showings. This unit is available for a few months at the most. Bright, 1 bed with curved glass windows facing the State House! High ceilings, updated kitchen, elevator building, doorman, laundry on each floor and common roofdeck with amazing view.  Close to everything!","Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as shopping, restaurants and public transportation.",https://a0.muscache.com/pictures/miso/Hosting-8789/original/79276a31-76b8-4a0a-86d3-c2ffef3aeca2.jpeg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,Neighborhood highlights,Beacon Hill,,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Essentials"", ""Patio or balcony"", ""Paid parking garage off premises"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Electric stove"", ""Elevator"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Single level home"", ""Bathtub""]",$140.00,91,365,91,91,365,365,91.0,365.0,,t,0,17,29,210,2025-06-19,29,0,0,41,1,0,0.0,2014-08-12,2024-05-15,4.69,4.69,4.55,4.93,4.97,4.97,4.59,,f,8,8,0,0,0.22
9,40601,https://www.airbnb.com/rooms/40601,20250619031426,2025-06-19,city scrape,Private room & bath - Jamaica Plain,"Private bedroom and bathroom in my house in Jamaica Plain, a neighborhood of Boston.  Convenient to public transportation, downtown Boston and the medical centers.  Room has a queen bed. House can accomodate others on a queen air mattress in study.","Jamaica Plain is a diverse neighborhood of Boston that is close to almost everything.  It has a great selection of shops, groceries, restaurants and bars.  One will find professionals, artists, craftsmen, laborers of all ethnicities and of course the hipsters.",https://a0.muscache.com/pictures/508984/678a928d_original.jpg,174986,https://www.airbnb.com/users/show/174986,Robert,2010-07-20,"Boston, MA","Professional single male in commercial real estate.
Outside of work I like walking, working out and drawing.  Have hosted guests from all over the world since 2003.  I look forward to meeting many more.",within a day,100%,88%,t,https://a0.muscache.com/im/users/174986/profile_pic/1279655476/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/174986/profile_pic/1279655476/original.jpg?aki_policy=profile_x_medium,Jamaica Plain,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Jamaica Plain,,42.31347,-71.11082,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Hammock"", ""Drying rack for clothing"", ""Indoor fireplace: gas"", ""Clothing storage: closet and dresser"", ""Baking sheet"", ""Record player"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""Coffee maker: french press, pour-over coffee"", ""Private backyard \u2013 Fully fenced"", ""Books and reading material"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Dining table"", ""Oven"", ""Long term stays allowed"", ""55 inch HDTV with standard cable"", ""Fire pit"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Host greets you"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Free washer \u2013 In unit"", ""Garden view"", ""Refrigerator"", ""Fast wifi \u2013 103 Mbps"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Outdoor furniture"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Stainless steel gas stove"", ""Hot water"", ""Heating"", ""Iron"", ""Outdoor dining area"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Exterior security cameras on property"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Central air conditioning"", ""Free street parking""]",$90.00,14,120,14,14,120,120,14.0,120.0,,t,0,11,34,235,2025-06-19,103,4,0,66,4,112,10080.0,2010-08-27,2025-05-11,4.98,4.95,5.0,4.97,4.94,4.93,4.93,STR-551851,f,1,0,1,0,0.57
13,60356,https://www.airbnb.com/rooms/60356,20250619031426,2025-06-19,city scrape,Bookcase 1bd facing Boston Common,"Live beside the Boston Common and the State House in picturesque Beacon Hill!  This sunny 6th floor condo overlooks the Common and the State House, it has parquet wood floors, good closet space and ceiling fans. The building features a concierge, elevator, common roofdeck with amazing views, laundry and rubbish room on each floor. It is conveniently located close to transportation, shopping, restaurants, the Financial District, Government Center and the Theater District.",,https://a0.muscache.com/pictures/e0b12f2f-06c3-42bf-b10c-b2240021b927.jpg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,,Beacon Hill,,42.35894,-71.0631,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Paid parking off premises"", ""Elevator"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker""]",$100.00,32,365,32,32,365,365,32.0,365.0,,t,0,0,0,170,2025-06-19,19,0,0,1,0,0,0.0,2013-11-10,2020-09-08,4.84,4.89,4.63,4.84,4.89,5.0,4.68,,f,8,8,0,0,0.13
14,67774,https://www.airbnb.com/rooms/67774,20250619031426,2025-06-19,city scrape,Corner 1 bed facing Golden Dome,"Live beside the State House and the Boston Common in picturesque Beacon Hill!  Sunny corner 1 bed facing the State House golden dome! Great location, close to everything, concierge building, elevators, common roofdeck, queen size bed, flat screen TV.","This building is located in the historic area known as Beacon Hill.  It is beside the State House and the Boston Common park.  Beacon Hill is a central location with multiple transportation options, shopping, restaurants, banks, etc.  The Theater District, the Financial District and Government Center are all within in a few blocks.",https://a0.muscache.com/pictures/95ad5d58-7fc3-4f26-a88a-35e1f2b58e6b.jpg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,Neighborhood highlights,Downtown,,42.35689,-71.06206,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Paid parking off premises"", ""Elevator"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Dryer"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Coffee maker""]",$135.00,91,260,91,91,260,260,91.0,260.0,,t,0,0,0,261,2025-06-19,49,0,0,92,1,0,0.0,2012-11-16,2024-05-31,4.84,4.85,4.71,4.9,4.94,4.98,4.81,,f,8,8,0,0,0.32
18,184893,https://www.airbnb.com/rooms/184893,20250619031426,2025-06-19,previous scrape,City Oasis/sleeps 4 near historical sites,That’s beautiful oversized one bedroom is located on a beautiful gaslit street of some of the most beautiful brownstones!,,https://a0.muscache.com/pictures/6726869/d8f4791b_original.jpg,887148,https://www.airbnb.com/users/show/887148,Dawn,2011-07-29,"Boston, MA","Hello!

Thanks for checking out my properties!  

My name is Dawn and I have been living in beautiful historical Charlestown for the last 16 years. My property is near and dear to my heart as this was my grandparents home that I pretty much grew up in and that I bought after they passed away. I recently decided to turn my beautiful peice of property into a place where visitors can come and enjoy all this wonderful city has to offer while staying in a place of history vs a hotel!  You will enjoy staying here and all this city has to offer_ I will make sure of it!  :) 
 
Thank you and I look forward to meeting you!  

Dawn",within a day,60%,14%,f,https://z1.muscache.cn/im/pictures/user/5d84506f-b9c6-4de6-960d-dad8adeb0502.jpg?aki_policy=profile_small,https://z1.muscache.cn/im/pictures/user/5d84506f-b9c6-4de6-960d-dad8adeb0502.jpg?aki_policy=profile_x_medium,Charlestown,11,19,"['email', 'phone']",t,t,,Charlestown,,42.37823,-71.06778,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,"[""Wine glasses"", ""Essentials"", ""Private entrance"", ""Washer"", ""Baking sheet"", ""Air conditioning"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Hot water kettle"", ""Oven"", ""Room-darkening shades"", ""Long term stays allowed"", ""Cleaning products"", ""Bed linens"", ""Ceiling fan"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Luggage dropoff allowed"", ""Freezer"", ""Garden view"", ""Refrigerator"", ""Clothing storage: closet and wardrobe"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Shower gel"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Stove"", ""Free parking on premises""]",,91,1000,91,91,1000,1000,91.0,1000.0,,t,12,12,12,179,2025-06-19,0,0,0,105,0,0,,,,,,,,,,,STR-539322,t,3,2,1,0,
39,646087,https://www.airbnb.com/rooms/646087,20250619031426,2025-06-19,city scrape,1 Bed in Charming Southie Townhouse near BCEC,"One very cozy Private Bedroom in shared house.<br />Includes shared full bathroom and access to main floor. I'm a transplanted southerner, and treat my guests to a full B&B experience. House features two adorable cats, who may likely hide your entire stay if you choose shared option. My home is a 10 minute walk from the convention center, close to all the hot-spots in the Seaport and South Boston area and four blocks from the beach!","Quiet neighborhood feel within close proximity to all Boston has to offer. Easy walk to the beach, restaurants, grocery stores and shops.<br />Very walkable to The Boston Convention and Exhibition Center and South Boston Seaport district.",https://a0.muscache.com/pictures/8363065/f7de2605_original.jpg,3236611,https://www.airbnb.com/users/show/3236611,Ingrid,2012-08-12,"Boston, MA","Hi,
 I am a professional musician. I work as a performer, singer/songwriter and producer. I travel often while on tour or recording. I am naturally a home oriented person, so you will find my home cozy, eclectic and comfortable.",within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/7b87423a-82ad-4a91-be69-ccb6ec37b638.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7b87423a-82ad-4a91-be69-ccb6ec37b638.jpg?aki_policy=profile_x_medium,South Boston,1,1,"['email', 'phone']",t,t,Neighborhood highlights,South Boston,,42.33451,-71.04983,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Washer"", ""Patio or balcony"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Breakfast"", ""Carbon monoxide alarm"", ""Microwave"", ""Host greets you"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Backyard"", ""Heating"", ""Iron"", ""Wifi"", ""First aid kit"", ""Hangers"", ""Coffee maker"", ""Free street parking""]",$213.00,2,7,2,2,7,7,2.0,7.0,,t,0,0,16,106,2025-06-19,8,0,0,106,0,0,0.0,2016-06-18,2022-05-30,5.0,5.0,5.0,5.0,5.0,4.88,4.75,STR-398090,f,1,0,1,0,0.07
57,1092093,https://www.airbnb.com/rooms/1092093,20250619031426,2025-06-19,city scrape,Duplex Penthouse in Longwood Area,"Traditional Brownstone on a tree lined street located minutes from the Longwood Medical Area. Top floor 1 bedroom duplex penthouse with skylights in a 3rd floor walk-up with refinished wood floors, 2 full baths, in-unit laundry,  eat-in-kitchen with granite counters and a deck off of the bedroom. The bedroom overlooks the living room with a railing and there is a sleeper couch.","Great location! Walk to the Longwood Medical Area, the Green and Orange lines, restaurants, banking, groceries and a drug store. Easy commute to downtown.",https://a0.muscache.com/pictures/4491208d-b26d-41d7-85d3-b79cb952c9ef.jpg,26988,https://www.airbnb.com/users/show/26988,Anne,2009-07-22,"Boston, MA","I manage a number of furnished units around Boston and Brookline with my business partner Joseph Morrissey.  I am a Realtor with Unlimited Sotheby's  and do sales/rentals in the greater Boston market.  I also manage a sculpture school/studio with my husband, sculptor Morris Norvin.  Stonybrook Fine Arts, is located in the Boston neighborhood Jamaica Plain across the street from the famous Sam Adams Brewery.  We offer a variety of one day workshops on our calendar including welding, jewelry and metal casting.   Longer classes are available and meet one time each week including the options above as well as mold making, live figure modeling and foundry.  Custom workshops are available for small groups, birthday parties, bachelorette parties, make your own wedding bands, create an engagement ring and team building.  We are happy to arrange a tour of Sam Adams after a daytime workshop not occurring on Sunday.  Contact us for more details to set up your custom event!

",within a day,70%,38%,t,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_x_medium,Beacon Hill,12,32,"['email', 'phone']",t,t,Neighborhood highlights,Mission Hill,,42.33395767211914,-71.10222625732422,Entire rental unit,Entire home/apt,2,2.0,2 baths,1.0,1.0,"[""Essentials"", ""Patio or balcony"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Dishes and silverware"", ""Paid parking off premises"", ""Self check-in"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Extra pillows and blankets"", ""Lockbox"", ""Window AC unit"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Bathtub""]",$135.00,91,260,91,91,260,260,91.0,260.0,,t,8,8,8,174,2025-06-19,31,0,0,8,0,0,0.0,2013-05-30,2023-04-30,4.68,4.87,4.6,4.9,4.76,4.83,4.72,,f,8,8,0,0,0.21
73,1682936,https://www.airbnb.com/rooms/1682936,20250619031426,2025-06-19,previous scrape,Charming 2 level Apartment,"Beautiful apartment  centrally located and only a 5 min.walk from the orangeline<br />""T"" station.<br />Coveniently located near shops, supermarket,  medical area and universities.  Window air conditioning. Full kitchen. 2 days<br />minimum stay, deposit required.",Located across Marcella park and a short walk  to our adjecent neighborhood Jamaica Plain which offers charming little restaurants and unique little boutiques plus two supermarkets and a vibrant and diverse community.,https://a0.muscache.com/pictures/23456a21-98a1-4b4d-bf6a-f87add812ef6.jpg,8898973,https://www.airbnb.com/users/show/8898973,Gianni,2013-09-17,"Boston, MA","Friendly,responsible and profesional.",within a day,80%,67%,f,https://a0.muscache.com/im/users/8898973/profile_pic/1380147848/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8898973/profile_pic/1380147848/original.jpg?aki_policy=profile_x_medium,Roxbury,4,4,"['email', 'phone']",t,t,Neighborhood highlights,Back Bay,,42.349278,-71.087074,Entire rental unit,Entire home/apt,2,,1.5 baths,1.0,,"[""Wine glasses"", ""Essentials"", ""Washer"", ""Baking sheet"", ""Clothing storage: closet"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Dining table"", ""Oven"", ""Carbon monoxide alarm"", ""Ceiling fan"", ""Microwave"", ""Shampoo"", ""Hair dryer"", ""Freezer"", ""Garden view"", ""Refrigerator"", ""Extra pillows and blankets"", ""Lockbox"", ""Fire extinguisher"", ""Ethernet connection"", ""TV"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Generic body soap"", ""Backyard"", ""Heating"", ""Conditioner"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Safe"", ""Stove"", ""Coffee maker""]",,30,730,30,30,730,730,30.0,730.0,,t,7,13,13,26,2025-06-19,236,1,0,26,2,60,,2014-02-28,2024-06-27,4.84,4.91,4.9,4.88,4.79,4.54,4.79,Exempt: This listing is a unit used for furnished institutional or business stays,f,4,4,0,0,1.71
74,1692573,https://www.airbnb.com/rooms/1692573,20250619031426,2025-06-19,city scrape,Urban oasis trendy JP 'hood - suite,"PLEASE NOTE: This space is the entire third floor of our house and shares an entrance and stairway with the rest of the house.<br /><br />Entire third floor of our historic Victorian home with equal doses of period detail and contemporary design will be yours. 2 bedroom, 1 bath, lounge area w/dining nook.  Artsy neighborhood with great urban vibe, lots of green space, close to T.",,https://a0.muscache.com/pictures/75644887/4c963a78_original.jpg,8814724,https://www.airbnb.com/users/show/8814724,Kelly,2013-09-13,,"We're Kelly, Phil, and Campbell (our 9-year old son, well he’s 16 now).  We love living in our JP neighborhood, walking to parks, riding bikes, geo caching, and drinking great coffee!  When we're not in JP, we're in the mountains or exploring remote parts of the world.  Come visit!!",within a day,100%,72%,t,https://a0.muscache.com/im/users/8814724/profile_pic/1379624673/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8814724/profile_pic/1379624673/original.jpg?aki_policy=profile_x_medium,Jamaica Plain,2,2,"['email', 'phone']",t,t,,Jamaica Plain,,42.31293,-71.11527,Entire home,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Essentials"", ""Smoke alarm"", ""Dishes and silverware"", ""Crib"", ""Self check-in"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""Children\u2019s books and toys"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Lockbox"", ""Fire extinguisher"", ""Baby safety gates"", ""Cooking basics"", ""Hot water"", ""Heating"", ""Wifi"", ""Hangers"", ""Coffee maker"", ""Central air conditioning"", ""Free street parking""]",$214.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,1,6,17,270,2025-06-19,319,29,3,101,30,174,37236.0,2013-10-26,2025-06-16,4.91,4.91,4.96,4.94,4.95,4.93,4.85,STR-447499,f,1,1,0,0,2.25
